F12,gamma_1,gamma_2,gamma_3,gamma_4,gamma_5,gamma_6,gamma_7,gamma_8,gamma_9,gamma_10,gamma_11,gamma_12
3.6,0.254037380219,0.70534684509,0.774924993515,0.254037380219,0.70534684509,0.774924993515,0.254037380219,0.778665095568,0.698811031878,0.254037380219,0.778665095568,0.698811031878
3.6599998474121094,0.254037380219,0.713168166578,0.799812465906,0.254037380219,0.713168166578,0.799812465906,0.254037380219,0.803368985653,0.70644877106,0.254037380219,0.803368985653,0.70644877106
3.720000076293945,0.254037380219,0.71949865669,0.825116276741,0.254037380219,0.71949865669,0.825116276741,0.254037380219,0.82848918438,0.712595619261,0.254037380219,0.82848918438,0.712595619261
3.779999923706055,0.254037380219,0.724317096174,0.850746661425,0.254037380219,0.724317096174,0.850746661425,0.254037380219,0.853935956955,0.717230476439,0.254037380219,0.853935956955,0.717230476439
3.8400001525878906,0.254037380219,0.727607689798,0.87661293149,0.254037380219,0.727607689798,0.87661293149,0.254037380219,0.879618614912,0.720337428153,0.254037380219,0.879618614912,0.720337428153
3.9,0.254037380219,0.72936000675,0.902623653412,0.254037380219,0.72936000675,0.902623653412,0.254037380219,0.905445754528,0.721906162798,0.254037380219,0.905445754528,0.721906162798
3.959999847412109,0.254037380219,0.729569040239,0.928687125444,0.254037380219,0.729569040239,0.928687125444,0.254037380219,0.931325614452,0.721931613982,0.254037380219,0.931325614452,0.721931613982
4.020000076293945,0.254037380219,0.729569040239,0.954807430506,0.254037380219,0.729569040239,0.954807430506,0.254037380219,0.957070022821,0.721931613982,0.254037380219,0.957070022821,0.721931613982
4.079999923706055,0.254540575843,0.729569040239,0.980292260647,0.254540575843,0.729569040239,0.980292260647,0.254540575843,0.982185721397,0.721931613982,0.254540575843,0.982185721397,0.721931613982
4.1400001525878904,0.259029175155,0.729569040239,1.00156918168,0.259029175155,0.729569040239,1.00156918168,0.259029175155,1.00309541821,0.721931613982,0.259029175155,1.00309541821,0.721931613982
4.2,0.265032859519,0.729569040239,1.02101835608,0.265032859519,0.729569040239,1.02101835608,0.265032859519,1.0221773684,0.721931613982,0.265032859519,1.0221773684,0.721931613982
4.259999847412109,0.272529551759,0.729569040239,1.0385723412,0.272529551759,0.729569040239,1.0385723412,0.272529551759,1.03936418891,0.721931613982,0.272529551759,1.03936418891,0.721931613982
4.320000076293946,0.281491929665,0.729569040239,1.05417069793,0.281491929665,0.729569040239,1.05417069793,0.281491929665,1.05459532142,0.721931613982,0.281491929665,1.05459532142,0.721931613982
4.3799999237060545,0.291887547821,0.729569040239,1.06775978208,0.291887547821,0.729569040239,1.06775978208,0.291887547821,1.06781724095,0.721931613982,0.291887547821,1.06781724095,0.721931613982
4.44000015258789,0.303678948432,0.729569040239,1.07929328084,0.303678948432,0.729569040239,1.07929328084,0.303678948432,1.0789835155,0.721931613982,0.303678948432,1.0789835155,0.721931613982
4.5,0.316823832691,0.729569040239,1.08873209357,0.316823832691,0.729569040239,1.08873209357,0.316823832691,1.08805510402,0.721931613982,0.316823832691,1.08805510402,0.721931613982
4.55999984741211,0.331275194883,0.729569040239,1.096044451,0.331275194883,0.729569040239,1.096044451,0.331275194883,1.09500029683,0.721931613982,0.331275194883,1.09500029683,0.721931613982
4.6200000762939455,0.34698151052,0.729569040239,1.10120627284,0.34698151052,0.729569040239,1.10120627284,0.34698151052,1.09979495406,0.721931613982,0.34698151052,1.09979495406,0.721931613982
4.679999923706054,0.363886937499,0.729569040239,1.1042009294,0.363886937499,0.729569040239,1.1042009294,0.363886937499,1.10242238641,0.721931613982,0.363886937499,1.10242238641,0.721931613982
4.740000152587891,0.381931483746,0.729569040239,1.10501942039,0.381931483746,0.729569040239,1.10501942039,0.381931483746,1.10287371278,0.721931613982,0.381931483746,1.10287371278,0.721931613982
4.8,0.400277197361,0.729569040239,1.10501942039,0.400277197361,0.729569040239,1.10501942039,0.400277197361,1.10287371278,0.721931613982,0.400277197361,1.10287371278,0.721931613982
4.8599998474121096,0.418544083834,0.729569040239,1.10501942039,0.418544083834,0.729569040239,1.10501942039,0.418544083834,1.10287371278,0.721931613982,0.418544083834,1.10287371278,0.721931613982
